cnt,clinical_trial_status,progression_bin,symptom_burden_bin,tx_class,tx_modality,tx_specific,visual_status_bin,site
116,NOT_MENTIONED,PROGRESSION,SYMPTOM_PRESENT,,,,NOT_MENTIONED,
116,NOT_MENTIONED,PROGRESSION,SYMPTOM_PRESENT,,,,NOT_MENTIONED,boston_childrens
115,NOT_MENTIONED,,,,,NOT_MENTIONED,,
115,,,,CHEMOTHERAPY,CHEMOTHERAPY,,,
115,,,,CHEMOTHERAPY,,,,
115,,,,,,NOT_MENTIONED,NOT_MENTIONED,
115,NOT_MENTIONED,,,,,NOT_MENTIONED,,boston_childrens
115,,,,CHEMOTHERAPY,CHEMOTHERAPY,,,boston_childrens
115,,,,CHEMOTHERAPY,,,,boston_childrens
115,,,,,,NOT_MENTIONED,NOT_MENTIONED,boston_childrens
111,NOT_MENTIONED,,,,CHEMOTHERAPY,,,
111,,,,,CHEMOTHERAPY,,NOT_MENTIONED,
111,NOT_MENTIONED,,,,CHEMOTHERAPY,,,boston_childrens
111,,,,,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
110,NOT_MENTIONED,,,,,NOT_MENTIONED,NOT_MENTIONED,
110,NOT_MENTIONED,,,,,NOT_MENTIONED,NOT_MENTIONED,boston_childrens
108,NOT_MENTIONED,,,CHEMOTHERAPY,CHEMOTHERAPY,,,
108,NOT_MENTIONED,,,CHEMOTHERAPY,,,,
108,NOT_MENTIONED,,,CHEMOTHERAPY,CHEMOTHERAPY,,,boston_childrens
108,NOT_MENTIONED,,,CHEMOTHERAPY,,,,boston_childrens
107,,,,CHEMOTHERAPY,CHEMOTHERAPY,,NOT_MENTIONED,
107,,,,CHEMOTHERAPY,,,NOT_MENTIONED,
107,,,,CHEMOTHERAPY,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
107,,,,CHEMOTHERAPY,,,NOT_MENTIONED,boston_childrens
105,NOT_MENTIONED,,,,CHEMOTHERAPY,,NOT_MENTIONED,
105,,,,OBSERVATION,OBSERVATION,OBSERVATION,,
105,,,,OBSERVATION,OBSERVATION,,,
105,,,,OBSERVATION,,OBSERVATION,,
105,,,,OBSERVATION,,,,
105,,,,,OBSERVATION,OBSERVATION,,
105,,,,,OBSERVATION,,,
105,,,,,,OBSERVATION,,
105,NOT_MENTIONED,,,,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
105,,,,OBSERVATION,OBSERVATION,OBSERVATION,,boston_childrens
105,,,,OBSERVATION,OBSERVATION,,,boston_childrens
105,,,,OBSERVATION,,OBSERVATION,,boston_childrens
105,,,,OBSERVATION,,,,boston_childrens
105,,,,,OBSERVATION,OBSERVATION,,boston_childrens
105,,,,,OBSERVATION,,,boston_childrens
105,,,,,,OBSERVATION,,boston_childrens
104,,,SYMPTOM_PRESENT,,CHEMOTHERAPY,,,
104,,,SYMPTOM_PRESENT,,,NOT_MENTIONED,,
104,,,SYMPTOM_PRESENT,,CHEMOTHERAPY,,,boston_childrens
104,,,SYMPTOM_PRESENT,,,NOT_MENTIONED,,boston_childrens
102,NOT_MENTIONED,,,CHEMOTHERAPY,CHEMOTHERAPY,,NOT_MENTIONED,
102,NOT_MENTIONED,,,CHEMOTHERAPY,,,NOT_MENTIONED,
102,NOT_MENTIONED,,,CHEMOTHERAPY,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
102,NOT_MENTIONED,,,CHEMOTHERAPY,,,NOT_MENTIONED,boston_childrens
101,,,SYMPTOM_PRESENT,CHEMOTHERAPY,CHEMOTHERAPY,,,
101,,,SYMPTOM_PRESENT,CHEMOTHERAPY,,,,
101,,,SYMPTOM_PRESENT,CHEMOTHERAPY,CHEMOTHERAPY,,,boston_childrens
101,,,SYMPTOM_PRESENT,CHEMOTHERAPY,,,,boston_childrens
99,NOT_MENTIONED,,SYMPTOM_PRESENT,,,NOT_MENTIONED,,
99,NOT_MENTIONED,,,OBSERVATION,OBSERVATION,OBSERVATION,,
99,NOT_MENTIONED,,,OBSERVATION,OBSERVATION,,,
99,NOT_MENTIONED,,,OBSERVATION,,OBSERVATION,,
99,NOT_MENTIONED,,,OBSERVATION,,,,
99,NOT_MENTIONED,,,,OBSERVATION,OBSERVATION,,
99,NOT_MENTIONED,,,,OBSERVATION,,,
99,NOT_MENTIONED,,,,,OBSERVATION,,
99,,PROGRESSION,NOT_MENTIONED,,,,,
99,NOT_MENTIONED,,SYMPTOM_PRESENT,,,NOT_MENTIONED,,boston_childrens
99,NOT_MENTIONED,,,OBSERVATION,OBSERVATION,OBSERVATION,,boston_childrens
99,NOT_MENTIONED,,,OBSERVATION,OBSERVATION,,,boston_childrens
99,NOT_MENTIONED,,,OBSERVATION,,OBSERVATION,,boston_childrens
99,NOT_MENTIONED,,,OBSERVATION,,,,boston_childrens
99,NOT_MENTIONED,,,,OBSERVATION,OBSERVATION,,boston_childrens
99,NOT_MENTIONED,,,,OBSERVATION,,,boston_childrens
99,NOT_MENTIONED,,,,,OBSERVATION,,boston_childrens
99,,PROGRESSION,NOT_MENTIONED,,,,,boston_childrens
96,,PROGRESSION,NOT_MENTIONED,,,,NOT_MENTIONED,
96,,PROGRESSION,NOT_MENTIONED,,,,NOT_MENTIONED,boston_childrens
95,,PROGRESSION,,,CHEMOTHERAPY,,,
95,,PROGRESSION,,,,NOT_MENTIONED,,
95,,,SYMPTOM_PRESENT,,,NOT_MENTIONED,NOT_MENTIONED,
95,,PROGRESSION,,,CHEMOTHERAPY,,,boston_childrens
95,,PROGRESSION,,,,NOT_MENTIONED,,boston_childrens
95,,,SYMPTOM_PRESENT,,,NOT_MENTIONED,NOT_MENTIONED,boston_childrens
94,NOT_MENTIONED,,SYMPTOM_PRESENT,,CHEMOTHERAPY,,,
94,NOT_MENTIONED,,SYMPTOM_PRESENT,,CHEMOTHERAPY,,,boston_childrens
93,,,SYMPTOM_PRESENT,,CHEMOTHERAPY,,NOT_MENTIONED,
93,,,SYMPTOM_PRESENT,,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
92,NOT_MENTIONED,PROGRESSION,NOT_MENTIONED,,,,,
92,NOT_MENTIONED,,SYMPTOM_PRESENT,CHEMOTHERAPY,CHEMOTHERAPY,,,
92,NOT_MENTIONED,,SYMPTOM_PRESENT,CHEMOTHERAPY,,,,
92,,,,,,,DECLINING,
92,NOT_MENTIONED,PROGRESSION,NOT_MENTIONED,,,,,boston_childrens
92,NOT_MENTIONED,,SYMPTOM_PRESENT,CHEMOTHERAPY,CHEMOTHERAPY,,,boston_childrens
92,NOT_MENTIONED,,SYMPTOM_PRESENT,CHEMOTHERAPY,,,,boston_childrens
92,,,,,,,DECLINING,boston_childrens
91,AVAILABLE_AND_ELIGIBLE,,,,,,,
91,NOT_MENTIONED,,SYMPTOM_PRESENT,,,NOT_MENTIONED,NOT_MENTIONED,
91,,PROGRESSION,,CHEMOTHERAPY,CHEMOTHERAPY,,,
91,,PROGRESSION,,CHEMOTHERAPY,,,,
91,AVAILABLE_AND_ELIGIBLE,,,,,,,boston_childrens
91,NOT_MENTIONED,,SYMPTOM_PRESENT,,,NOT_MENTIONED,NOT_MENTIONED,boston_childrens
91,,PROGRESSION,,CHEMOTHERAPY,CHEMOTHERAPY,,,boston_childrens
91,,PROGRESSION,,CHEMOTHERAPY,,,,boston_childrens
90,NOT_MENTIONED,PROGRESSION,,,,NOT_MENTIONED,,
90,,PROGRESSION,,,,NOT_MENTIONED,NOT_MENTIONED,
90,,,SYMPTOM_PRESENT,CHEMOTHERAPY,CHEMOTHERAPY,,NOT_MENTIONED,
90,,,SYMPTOM_PRESENT,CHEMOTHERAPY,,,NOT_MENTIONED,
90,,,,VINCA ALKALOID,CHEMOTHERAPY,,,
90,,,,VINCA ALKALOID,,,,
90,NOT_MENTIONED,PROGRESSION,,,,NOT_MENTIONED,,boston_childrens
90,,PROGRESSION,,,,NOT_MENTIONED,NOT_MENTIONED,boston_childrens
90,,,SYMPTOM_PRESENT,CHEMOTHERAPY,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
90,,,SYMPTOM_PRESENT,CHEMOTHERAPY,,,NOT_MENTIONED,boston_childrens
90,,,,VINCA ALKALOID,CHEMOTHERAPY,,,boston_childrens
90,,,,VINCA ALKALOID,,,,boston_childrens
88,NOT_MENTIONED,PROGRESSION,NOT_MENTIONED,,,,NOT_MENTIONED,
88,NOT_MENTIONED,PROGRESSION,,,CHEMOTHERAPY,,,
88,,,,,CHEMOTHERAPY,NOT_MENTIONED,,
88,NOT_MENTIONED,PROGRESSION,NOT_MENTIONED,,,,NOT_MENTIONED,boston_childrens
88,NOT_MENTIONED,PROGRESSION,,,CHEMOTHERAPY,,,boston_childrens
88,,,,,CHEMOTHERAPY,NOT_MENTIONED,,boston_childrens
87,NOT_MENTIONED,,,VINCA ALKALOID,CHEMOTHERAPY,,,
87,NOT_MENTIONED,,,VINCA ALKALOID,,,,
87,,PROGRESSION,,,CHEMOTHERAPY,,NOT_MENTIONED,
87,NOT_MENTIONED,,,VINCA ALKALOID,CHEMOTHERAPY,,,boston_childrens
87,NOT_MENTIONED,,,VINCA ALKALOID,,,,boston_childrens
87,,PROGRESSION,,,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
86,NOT_MENTIONED,PROGRESSION,,,,NOT_MENTIONED,NOT_MENTIONED,
86,NOT_MENTIONED,,SYMPTOM_PRESENT,,CHEMOTHERAPY,,NOT_MENTIONED,
86,NOT_MENTIONED,PROGRESSION,,,,NOT_MENTIONED,NOT_MENTIONED,boston_childrens
86,NOT_MENTIONED,,SYMPTOM_PRESENT,,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
85,NOT_MENTIONED,PROGRESSION,,CHEMOTHERAPY,CHEMOTHERAPY,,,
85,NOT_MENTIONED,PROGRESSION,,CHEMOTHERAPY,,,,
85,,PROGRESSION,SYMPTOM_PRESENT,,CHEMOTHERAPY,,,
85,,PROGRESSION,SYMPTOM_PRESENT,,,NOT_MENTIONED,,
85,,PROGRESSION,,,,,DECLINING,
85,,,SYMPTOM_PRESENT,,,,DECLINING,
85,,,,,CHEMOTHERAPY,OTHER,,
85,,,,,,OTHER,,
85,NOT_MENTIONED,PROGRESSION,,CHEMOTHERAPY,CHEMOTHERAPY,,,boston_childrens
85,NOT_MENTIONED,PROGRESSION,,CHEMOTHERAPY,,,,boston_childrens
85,,PROGRESSION,SYMPTOM_PRESENT,,CHEMOTHERAPY,,,boston_childrens
85,,PROGRESSION,SYMPTOM_PRESENT,,,NOT_MENTIONED,,boston_childrens
85,,PROGRESSION,,,,,DECLINING,boston_childrens
85,,,SYMPTOM_PRESENT,,,,DECLINING,boston_childrens
85,,,,,CHEMOTHERAPY,OTHER,,boston_childrens
85,,,,,,OTHER,,boston_childrens
84,NOT_MENTIONED,,SYMPTOM_PRESENT,CHEMOTHERAPY,CHEMOTHERAPY,,NOT_MENTIONED,
84,NOT_MENTIONED,,SYMPTOM_PRESENT,CHEMOTHERAPY,,,NOT_MENTIONED,
84,,,,OBSERVATION,OBSERVATION,OBSERVATION,NOT_MENTIONED,
84,,,,OBSERVATION,OBSERVATION,,NOT_MENTIONED,
84,,,,OBSERVATION,,OBSERVATION,NOT_MENTIONED,
84,,,,OBSERVATION,,,NOT_MENTIONED,
84,,,,VINCA ALKALOID,CHEMOTHERAPY,,NOT_MENTIONED,
84,,,,VINCA ALKALOID,,,NOT_MENTIONED,
84,,,,,OBSERVATION,OBSERVATION,NOT_MENTIONED,
84,,,,,OBSERVATION,,NOT_MENTIONED,
84,,,,,,OBSERVATION,NOT_MENTIONED,
84,NOT_MENTIONED,,SYMPTOM_PRESENT,CHEMOTHERAPY,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
84,NOT_MENTIONED,,SYMPTOM_PRESENT,CHEMOTHERAPY,,,NOT_MENTIONED,boston_childrens
84,,,,OBSERVATION,OBSERVATION,OBSERVATION,NOT_MENTIONED,boston_childrens
84,,,,OBSERVATION,OBSERVATION,,NOT_MENTIONED,boston_childrens
84,,,,OBSERVATION,,OBSERVATION,NOT_MENTIONED,boston_childrens
84,,,,OBSERVATION,,,NOT_MENTIONED,boston_childrens
84,,,,VINCA ALKALOID,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
84,,,,VINCA ALKALOID,,,NOT_MENTIONED,boston_childrens
84,,,,,OBSERVATION,OBSERVATION,NOT_MENTIONED,boston_childrens
84,,,,,OBSERVATION,,NOT_MENTIONED,boston_childrens
84,,,,,,OBSERVATION,NOT_MENTIONED,boston_childrens
83,,PROGRESSION,,CHEMOTHERAPY,CHEMOTHERAPY,,NOT_MENTIONED,
83,,PROGRESSION,,CHEMOTHERAPY,,,NOT_MENTIONED,
83,,,SYMPTOM_PRESENT,OBSERVATION,OBSERVATION,OBSERVATION,,
83,,,SYMPTOM_PRESENT,OBSERVATION,OBSERVATION,,,
83,,,SYMPTOM_PRESENT,OBSERVATION,,OBSERVATION,,
83,,,SYMPTOM_PRESENT,OBSERVATION,,,,
83,,,SYMPTOM_PRESENT,,OBSERVATION,OBSERVATION,,
83,,,SYMPTOM_PRESENT,,OBSERVATION,,,
83,,,SYMPTOM_PRESENT,,,OBSERVATION,,
83,,PROGRESSION,,CHEMOTHERAPY,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
83,,PROGRESSION,,CHEMOTHERAPY,,,NOT_MENTIONED,boston_childrens
83,,,SYMPTOM_PRESENT,OBSERVATION,OBSERVATION,OBSERVATION,,boston_childrens
83,,,SYMPTOM_PRESENT,OBSERVATION,OBSERVATION,,,boston_childrens
83,,,SYMPTOM_PRESENT,OBSERVATION,,OBSERVATION,,boston_childrens
83,,,SYMPTOM_PRESENT,OBSERVATION,,,,boston_childrens
83,,,SYMPTOM_PRESENT,,OBSERVATION,OBSERVATION,,boston_childrens
83,,,SYMPTOM_PRESENT,,OBSERVATION,,,boston_childrens
83,,,SYMPTOM_PRESENT,,,OBSERVATION,,boston_childrens
82,NOT_MENTIONED,PROGRESSION,,,CHEMOTHERAPY,,NOT_MENTIONED,
82,NOT_MENTIONED,,,VINCA ALKALOID,CHEMOTHERAPY,,NOT_MENTIONED,
82,NOT_MENTIONED,,,VINCA ALKALOID,,,NOT_MENTIONED,
82,,PROGRESSION,SYMPTOM_PRESENT,CHEMOTHERAPY,CHEMOTHERAPY,,,
82,,PROGRESSION,SYMPTOM_PRESENT,CHEMOTHERAPY,,,,
82,,PROGRESSION,SYMPTOM_PRESENT,,,,DECLINING,
82,NOT_MENTIONED,PROGRESSION,,,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
82,NOT_MENTIONED,,,VINCA ALKALOID,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
82,NOT_MENTIONED,,,VINCA ALKALOID,,,NOT_MENTIONED,boston_childrens
82,,PROGRESSION,SYMPTOM_PRESENT,CHEMOTHERAPY,CHEMOTHERAPY,,,boston_childrens
82,,PROGRESSION,SYMPTOM_PRESENT,CHEMOTHERAPY,,,,boston_childrens
82,,PROGRESSION,SYMPTOM_PRESENT,,,,DECLINING,boston_childrens
81,NOT_MENTIONED,,,,CHEMOTHERAPY,NOT_MENTIONED,,
81,,,,PLATINUM,CHEMOTHERAPY,,,
81,,,,PLATINUM,,,,
81,,,,,CHEMOTHERAPY,NOT_MENTIONED,NOT_MENTIONED,
81,NOT_MENTIONED,,,,CHEMOTHERAPY,NOT_MENTIONED,,boston_childrens
81,,,,PLATINUM,CHEMOTHERAPY,,,boston_childrens
81,,,,PLATINUM,,,,boston_childrens
81,,,,,CHEMOTHERAPY,NOT_MENTIONED,NOT_MENTIONED,boston_childrens
80,NOT_MENTIONED,PROGRESSION,SYMPTOM_PRESENT,,,NOT_MENTIONED,,
80,NOT_MENTIONED,PROGRESSION,SYMPTOM_PRESENT,,,NOT_MENTIONED,,boston_childrens
79,AVAILABLE_AND_ELIGIBLE,,,,,,NOT_MENTIONED,
79,NOT_MENTIONED,PROGRESSION,,CHEMOTHERAPY,CHEMOTHERAPY,,NOT_MENTIONED,
79,NOT_MENTIONED,PROGRESSION,,CHEMOTHERAPY,,,NOT_MENTIONED,
79,,,,,CHEMOTHERAPY,OTHER,NOT_MENTIONED,
79,,,,,,OTHER,NOT_MENTIONED,
79,AVAILABLE_AND_ELIGIBLE,,,,,,NOT_MENTIONED,boston_childrens
79,NOT_MENTIONED,PROGRESSION,,CHEMOTHERAPY,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
79,NOT_MENTIONED,PROGRESSION,,CHEMOTHERAPY,,,NOT_MENTIONED,boston_childrens
79,,,,,CHEMOTHERAPY,OTHER,NOT_MENTIONED,boston_childrens
79,,,,,,OTHER,NOT_MENTIONED,boston_childrens
78,NOT_MENTIONED,,,,CHEMOTHERAPY,OTHER,,
78,NOT_MENTIONED,,,,,OTHER,,
78,NOT_MENTIONED,,,,,,DECLINING,
78,,PROGRESSION,SYMPTOM_PRESENT,,,NOT_MENTIONED,NOT_MENTIONED,
78,,,SYMPTOM_PRESENT,VINCA ALKALOID,CHEMOTHERAPY,,,
78,,,SYMPTOM_PRESENT,VINCA ALKALOID,,,,
78,NOT_MENTIONED,,,,CHEMOTHERAPY,OTHER,,boston_childrens
78,NOT_MENTIONED,,,,,OTHER,,boston_childrens
78,NOT_MENTIONED,,,,,,DECLINING,boston_childrens
78,,PROGRESSION,SYMPTOM_PRESENT,,,NOT_MENTIONED,NOT_MENTIONED,boston_childrens
78,,,SYMPTOM_PRESENT,VINCA ALKALOID,CHEMOTHERAPY,,,boston_childrens
78,,,SYMPTOM_PRESENT,VINCA ALKALOID,,,,boston_childrens
77,NOT_MENTIONED,,SYMPTOM_PRESENT,OBSERVATION,OBSERVATION,OBSERVATION,,
77,NOT_MENTIONED,,SYMPTOM_PRESENT,OBSERVATION,OBSERVATION,,,
77,NOT_MENTIONED,,SYMPTOM_PRESENT,OBSERVATION,,OBSERVATION,,
77,NOT_MENTIONED,,SYMPTOM_PRESENT,OBSERVATION,,,,
77,NOT_MENTIONED,,SYMPTOM_PRESENT,,OBSERVATION,OBSERVATION,,
77,NOT_MENTIONED,,SYMPTOM_PRESENT,,OBSERVATION,,,
77,NOT_MENTIONED,,SYMPTOM_PRESENT,,,OBSERVATION,,
77,NOT_MENTIONED,,,OBSERVATION,OBSERVATION,OBSERVATION,NOT_MENTIONED,
77,NOT_MENTIONED,,,OBSERVATION,OBSERVATION,,NOT_MENTIONED,
77,NOT_MENTIONED,,,OBSERVATION,,OBSERVATION,NOT_MENTIONED,
77,NOT_MENTIONED,,,OBSERVATION,,,NOT_MENTIONED,
77,NOT_MENTIONED,,,,OBSERVATION,OBSERVATION,NOT_MENTIONED,
77,NOT_MENTIONED,,,,OBSERVATION,,NOT_MENTIONED,
77,NOT_MENTIONED,,,,,OBSERVATION,NOT_MENTIONED,
77,,,NOT_MENTIONED,,CHEMOTHERAPY,,,
77,NOT_MENTIONED,,SYMPTOM_PRESENT,OBSERVATION,OBSERVATION,OBSERVATION,,boston_childrens
77,NOT_MENTIONED,,SYMPTOM_PRESENT,OBSERVATION,OBSERVATION,,,boston_childrens
77,NOT_MENTIONED,,SYMPTOM_PRESENT,OBSERVATION,,OBSERVATION,,boston_childrens
77,NOT_MENTIONED,,SYMPTOM_PRESENT,OBSERVATION,,,,boston_childrens
77,NOT_MENTIONED,,SYMPTOM_PRESENT,,OBSERVATION,OBSERVATION,,boston_childrens
77,NOT_MENTIONED,,SYMPTOM_PRESENT,,OBSERVATION,,,boston_childrens
77,NOT_MENTIONED,,SYMPTOM_PRESENT,,,OBSERVATION,,boston_childrens
77,NOT_MENTIONED,,,OBSERVATION,OBSERVATION,OBSERVATION,NOT_MENTIONED,boston_childrens
77,NOT_MENTIONED,,,OBSERVATION,OBSERVATION,,NOT_MENTIONED,boston_childrens
77,NOT_MENTIONED,,,OBSERVATION,,OBSERVATION,NOT_MENTIONED,boston_childrens
77,NOT_MENTIONED,,,OBSERVATION,,,NOT_MENTIONED,boston_childrens
77,NOT_MENTIONED,,,,OBSERVATION,OBSERVATION,NOT_MENTIONED,boston_childrens
77,NOT_MENTIONED,,,,OBSERVATION,,NOT_MENTIONED,boston_childrens
77,NOT_MENTIONED,,,,,OBSERVATION,NOT_MENTIONED,boston_childrens
77,,,NOT_MENTIONED,,CHEMOTHERAPY,,,boston_childrens
76,AVAILABLE_AND_ELIGIBLE,PROGRESSION,,,,,,
76,NOT_MENTIONED,PROGRESSION,SYMPTOM_PRESENT,,CHEMOTHERAPY,,,
76,NOT_MENTIONED,,,PLATINUM,CHEMOTHERAPY,,,
76,NOT_MENTIONED,,,PLATINUM,,,,
76,NOT_MENTIONED,,,,CHEMOTHERAPY,NOT_MENTIONED,NOT_MENTIONED,
76,,,SYMPTOM_PRESENT,,CHEMOTHERAPY,NOT_MENTIONED,,
76,,,,,TARGETED_THERAPY,,,
76,AVAILABLE_AND_ELIGIBLE,PROGRESSION,,,,,,boston_childrens
76,NOT_MENTIONED,PROGRESSION,SYMPTOM_PRESENT,,CHEMOTHERAPY,,,boston_childrens
76,NOT_MENTIONED,,,PLATINUM,CHEMOTHERAPY,,,boston_childrens
76,NOT_MENTIONED,,,PLATINUM,,,,boston_childrens
76,NOT_MENTIONED,,,,CHEMOTHERAPY,NOT_MENTIONED,NOT_MENTIONED,boston_childrens
76,,,SYMPTOM_PRESENT,,CHEMOTHERAPY,NOT_MENTIONED,,boston_childrens
76,,,,,TARGETED_THERAPY,,,boston_childrens
75,AVAILABLE_AND_ELIGIBLE,,SYMPTOM_PRESENT,,,,,
75,,PROGRESSION,SYMPTOM_PRESENT,,CHEMOTHERAPY,,NOT_MENTIONED,
75,,,NOT_MENTIONED,,CHEMOTHERAPY,,NOT_MENTIONED,
75,AVAILABLE_AND_ELIGIBLE,,SYMPTOM_PRESENT,,,,,boston_childrens
75,,PROGRESSION,SYMPTOM_PRESENT,,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
75,,,NOT_MENTIONED,,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
74,NOT_MENTIONED,PROGRESSION,SYMPTOM_PRESENT,CHEMOTHERAPY,CHEMOTHERAPY,,,
74,NOT_MENTIONED,PROGRESSION,SYMPTOM_PRESENT,CHEMOTHERAPY,,,,
74,NOT_MENTIONED,PROGRESSION,SYMPTOM_PRESENT,,,NOT_MENTIONED,NOT_MENTIONED,
74,NOT_MENTIONED,,,,CHEMOTHERAPY,OTHER,NOT_MENTIONED,
74,NOT_MENTIONED,,,,,OTHER,NOT_MENTIONED,
74,,,NOT_MENTIONED,CHEMOTHERAPY,CHEMOTHERAPY,,,
74,,,NOT_MENTIONED,CHEMOTHERAPY,,,,
74,,,,PLATINUM,CHEMOTHERAPY,,NOT_MENTIONED,
74,,,,PLATINUM,,,NOT_MENTIONED,
74,NOT_MENTIONED,PROGRESSION,SYMPTOM_PRESENT,CHEMOTHERAPY,CHEMOTHERAPY,,,boston_childrens
74,NOT_MENTIONED,PROGRESSION,SYMPTOM_PRESENT,CHEMOTHERAPY,,,,boston_childrens
74,NOT_MENTIONED,PROGRESSION,SYMPTOM_PRESENT,,,NOT_MENTIONED,NOT_MENTIONED,boston_childrens
74,NOT_MENTIONED,,,,CHEMOTHERAPY,OTHER,NOT_MENTIONED,boston_childrens
74,NOT_MENTIONED,,,,,OTHER,NOT_MENTIONED,boston_childrens
74,,,NOT_MENTIONED,CHEMOTHERAPY,CHEMOTHERAPY,,,boston_childrens
74,,,NOT_MENTIONED,CHEMOTHERAPY,,,,boston_childrens
74,,,,PLATINUM,CHEMOTHERAPY,,NOT_MENTIONED,boston_childrens
74,,,,PLATINUM,,,NOT_MENTIONED,boston_childrens
73,NOT_MENTIONED,,SYMPTOM_PRESENT,VINCA ALKALOID,CHEMOTHERAPY,,,
73,NOT_MENTIONED,,SYMPTOM_PRESENT,VINCA ALKALOID,,,,
73,,PROGRESSION,,,TARGETED_THERAPY,,,
73,,,SYMPTOM_PRESENT,,CHEMOTHERAPY,OTHER,,
73,,,SYMPTOM_PRESENT,,,OTHER,,
73,,,,,TARGETED_THERAPY,cumulus__none,,
73,,,,,,cumulus__none,,
73,NOT_MENTIONED,,SYMPTOM_PRESENT,VINCA ALKALOID,CHEMOTHERAPY,,,boston_childrens
73,NOT_MENTIONED,,SYMPTOM_PRESENT,VINCA ALKALOID,,,,boston_childrens
73,,PROGRESSION,,,TARGETED_THERAPY,,,boston_childrens
73,,,SYMPTOM_PRESENT,,CHEMOTHERAPY,OTHER,,boston_childrens
73,,,SYMPTOM_PRESENT,,,OTHER,,boston_childrens
73,,,,,TARGETED_THERAPY,cumulus__none,,boston_childrens
73,,,,,,cumulus__none,,boston_childrens
72,,PROGRESSION,SYMPTOM_PRESENT,CHEMOTHERAPY,CHEMOTHERAPY,,NOT_MENTIONED,
72,,PROGRESSION,SYMPTOM_PRESENT,CHEMOTHERAPY,,,NOT_MENTIONED,
72,,,NOT_MENTIONED,CHEMOTHERAPY,CHEMOTHERAPY,,NOT_MENTIONED,
